Site;Dato;Tid;regn;vind;sol og sky;sommerfugler;Fluer;andre
M05;24.07.16;18:30;;1;overskyet;;14;
M06;24.07.16;18:00;;1;overskyet;;25;
M07;24.07.16;17:40;;1;overskyet;;15;
M08;24.07.16;17:30;;1;overskyet;;19;
M09;24.07.16;17:00;;1;overskyet;1 bloddrape;21;
M10;24.07.16;17:10;regn;1;overskyet;;19;
M01;15.08.16;;;;;;;
M02;15.08.16;;;;;;;
M03;15.08.16;;;;;;;
M04;15.08.16;;;;;;;
M05;15.08.16;;;;;;;
M06;15.08.16;;;;;;;
M07;15.08.16;;;;;;;
M08;15.08.16;;;;;;;
M09;15.08.16;;;;;;;
M10;15.08.16;;;;;;;
M01;17.08.16;;;;;;;
M02;17.08.16;;;;;;;
M03;17.08.16;;;;;;;
M04;17.08.16;;;;;;;
M05;17.08.16;;;;;;;
M06;17.08.16;;;;;;;
M07;17.08.16;;;;;;;
M08;17.08.16;;;;;;;
M09;17.08.16;;;;;;;
M10;17.08.16;;;;;;;
M01;23.08.16;;;;;;;
M02;23.08.16;;;;;;;
M03;23.08.16;;;;;;;
M04;23.08.16;;;;;;;
M05;23.08.16;;;;;;;
M06;23.08.16;;;;;;;
M07;23.08.16;;;;;;;
M08;23.08.16;;;;;;;
M09;23.08.16;;;;;;;
M10;23.08.16;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
E01;07.07.16;;;;;;;
E02;07.07.16;;;;;;;
E03;07.07.16;;;;;;;
E04;07.07.16;;;;;;;
E05;07.07.16;;;;;;;
E06;07.07.16;;;;;;;
E07;07.07.16;;;;;;;
E08;07.07.16;;;;;;;
E09;07.07.16;;;;;;;
E10;07.07.16;;;;;;;
E01;08.07.16;15:20;;1;overskyet;;4;
E02;08.07.16;15:20;;1;overskyet;;8;
E03;08.07.16;15:30;;1;overskyet;;8;
E04;08.07.16;15:10;;1;overskyet;;3;
E05;08.07.16;15:30;;1;overskyet;;7;
E06;08.07.16;15:20;;1;overskyet;;13;
E07;08.07.16;15:10;;1;overskyet;;11;
E08;08.07.16;15:00;;1;overskyet;;21;
E09;08.07.16;15:50;;1;overskyet;;12;
E10;08.07.16;15:50;;1;overskyet;;8;
E01;13.07.16;15:40;;2;overskyet_littsol;;11;
E02;13.07.16;15:30;;2;overskyet_littsol;;14;
E03;13.07.16;15:50;;1;overskyet;;21;
E04;13.07.16;15:40;;2;overskyet_littsol;;19;
E05;13.07.16;16:00;;2;overskyet_littsol;;14;
E06;13.07.16;16:10;;2;overskyet_littsol;;32;
E07;13.07.16;16:15;;2;overskyet_littsol;;18;
E08;13.07.16;16:20;;2;overskyet_littsol;;30;
E09;13.07.16;16:30;;2;overskyet;;19;
E10;13.07.16;16:40;;2;overskyet;;14;
E01;14.07.16;;;;;;;
E02;14.07.16;;;;;;;
E03;14.07.16;;;;;;;
E04;14.07.16;;;;;;;
E05;14.07.16;;;;;;;
E06;14.07.16;;;;;;;
E07;14.07.16;;;;;;;
E08;14.07.16;;;;;;;
E09;14.07.16;;;;;;;
E10;14.07.16;;;;;;;
E01;15.07.16;16:40;;1;sol_littsky;;19;
E02;15.07.16;16:45;;1;sol_littsky;1 bloddrape;18;
E03;15.07.16;16:55;;1;sol_littsky;1 bloddrape;21;
E04;15.07.16;16:15;;1;sol_littsky;;14;
E05;15.07.16;16:20;;1;sol_littsky;;19;
E06;15.07.16;16:30;;1;sol_littsky;;28;
E07;15.07.16;16:35;;1;sol_littsky;;19;
E08;15.07.16;16:50;;1;sol_littsky;;14;
E09;15.07.16;17:30;;1;sol_littsky;;21;
E10;15.07.16;17:20;;1;sol_littsky;1 bloddrape;13;
M01;23.07.16;;;;;;;
M02;23.07.16;;;;;;;
M03;23.07.16;;;;;;;
M04;23.07.16;;;;;;;
M05;23.07.16;;;;;;;
M06;23.07.16;;;;;;;
M07;23.07.16;;;;;;;
M08;23.07.16;;;;;;;
M09;23.07.16;;;;;;;
M10;23.07.16;;;;;;;
M01;24.07.16;;;;;;;
M02;24.07.16;;;;;;;
M03;24.07.16;;;;;;;
M04;24.07.16;;;;;;;
M05;24.07.16;;;;;;;
M06;24.07.16;;;;;;;
M07;24.07.16;;;;;;;
M08;24.07.16;;;;;;;
M09;24.07.16;;;;;;;
M10;24.07.16;;;;;;;
M01;15.08.16;;;;;;;
M02;15.08.16;;;;;;;
M03;15.08.16;;;;;;;
M04;15.08.16;;;;;;;
M05;15.08.16;;;;;;;
M06;15.08.16;;;;;;;
M07;15.08.16;;;;;;;
M08;15.08.16;;;;;;;
M09;15.08.16;;;;;;;
M10;15.08.16;;;;;;;
M01;17.08.16;;;;;;;
M02;17.08.16;;;;;;;
M03;17.08.16;;;;;;;
M04;17.08.16;;;;;;;
M05;17.08.16;;;;;;;
M06;17.08.16;;;;;;;
M07;17.08.16;;;;;;;
M08;17.08.16;;;;;;;
M09;17.08.16;;;;;;;
M10;17.08.16;;;;;;;
M01;23.08.16;;;;;;;
M02;23.08.16;;;;;;;
M03;23.08.16;;;;;;;
M04;23.08.16;;;;;;;
M05;23.08.16;;;;;;;
M06;23.08.16;;;;;;;
M07;23.08.16;;;;;;;
M08;23.08.16;;;;;;;
M09;23.08.16;;;;;;;
M10;23.08.16;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
E01;18.07.16;10:40;;1;sol_littsky;;13;
E02;18.07.16;10:50;;1;sol_littsky;;14;
E03;18.07.16;11:05;;1;sol_littsky;;27;
E04;18.07.16;10:30;;1;sol_littsky;;37;
E05;18.07.16;10:20;;1;sol_littsky;;11;
E06;18.07.16;10:05;;1;sol_littsky;;20;
E07;18.07.16;10:00;;1;sol_littsky;;7;
E08;18.07.16;09:50;;1;sol_littsky;;6;
E09;18.07.16;09:30;;1;sol_littsky;;13;
E10;18.07.16;09:20;;1;sol_littsky;;8;
E01;20.07.16;11:20;;1;sol_littsky;;43;
E02;20.07.16;11:40;;1;sol_littsky;;27;
E03;20.07.16;11:50;;1;sol_littsky;;4;
E04;20.07.16;11:00;;1;sol_littsky;;48;
E05;20.07.16;10:40;;1;sol_littsky;;23;
E06;20.07.16;10:20;;1;sol_littsky;;31;
E07;20.07.16;10:00;;1;sol_littsky;;33;
E08;20.07.16;13:00;;1;sol_littsky;;26;
E09;20.07.16;12:15;;1;sol_littsky;;28;
E10;20.07.16;12:40;;1;sol_littsky;1 sommerfugl;22;
E01;21.07.16;10:05;;3;sol_littsky;;11;
E02;21.07.16;10:15;;3;sol_littsky;;15;
E03;21.07.16;10:30;;3;sol_littsky;;20;
E04;21.07.16;10:00;;3;sol_littsky;;4;
E05;21.07.16;09:50;;3;sol_littsky;;9;
E06;21.07.16;11:40;;3;sol_littsky;;18;
E07;21.07.16;11:30;;3;sol_littsky;;6;
E08;21.07.16;11:20;;3;sol_littsky;;6;
E09;21.07.16;10:50;;3;sol_littsky;;11;
E10;21.07.16;11:00;;3;sol_littsky;;16;
E01;23.07.16;09:50;;1;sol_littsky;;15;
E02;23.07.16;10:00;;1;sol_littsky;;6;
E03;23.07.16;11:50;;1;sol_littsky;;37;
E04;23.07.16;11:40;;1;sol_littsky;;36;
E05;23.07.16;11:30;;1;sol_littsky;;26;
E06;23.07.16;11:15;;1;sol_littsky;;4;
E07;23.07.16;11:10;;1;sol_littsky;;9;
E08;23.07.16;11:00;;1;sol_littsky;;15;
E09;23.07.16;10:25;;1;sol_littsky;;13;
E10;23.07.16;10:30;;1;sol_littsky;;30;
E01;24.07.16;12:15;;1;overskyet_littsol;;21;
E02;24.07.16;12:10;;1;overskyet_littsol;;16;
E03;24.07.16;11:00;;1;overskyet_littsol;;35;
E04;24.07.16;11:25;;1;overskyet_littsol;;27;
E05;24.07.16;11:20;;1;overskyet_littsol;;20;
E06;24.07.16;10:40;;1;overskyet_littsol;;6;
E07;24.07.16;10:30;;1;overskyet;;10;
E08;24.07.16;10:15;;1;overskyet;;5;
E09;24.07.16;10:00;;1;overskyet;;10;
E10;24.07.16;09:50;;1;overskyet;;15;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
E01;18.07.16;;;;;;;
E02;18.07.16;;;;;;;
E03;18.07.16;;;;;;;
E04;18.07.16;;;;;;;
E05;18.07.16;;;;;;;
E06;18.07.16;;;;;;;
E07;18.07.16;;;;;;;
E08;18.07.16;;;;;;;
E09;18.07.16;;;;;;;
E10;18.07.16;;;;;;;
E01;20.07.16;18:15;;1;sol_littsky;;24;
E02;20.07.16;18:10;;1;sol_littsky;;12;
E03;20.07.16;18:30;;1;sol_littsky;;21;
E04;20.07.16;18:00;;1;overskyet_littsol;;16;
E05;20.07.16;17:50;;1;overskyet_littsol;;23;
E06;20.07.16;17:40;;1;overskyet_littsol;;14;
E07;20.07.16;17:30;;1;overskyet_littsol;;19;
E08;20.07.16;18:40;;1;overskyet_littsol;;16;
E09;20.07.16;18:50;;1;overskyet_littsol;;13;
E10;20.07.16;19:00;;1;overskyet_littsol;;16;
E01;21.07.16;14:40;;3;overskyet;;13;
E02;21.07.16;14:30;;3;overskyet;;5;
E03;21.07.16;13:50;;3;overskyet;;15;
E04;21.07.16;14:50;;3;overskyet;;7;
E05;21.07.16;15:00;;3;overskyet;;8;
E06;21.07.16;15:05;;3;overskyet;;6;
E07;21.07.16;15:00;;3;overskyet;;10;
E08;21.07.16;12:40;;3;overskyet_littsol;;9;
E09;21.07.16;13:00;;3;overskyet_littsol;;14;
E10;21.07.16;13:30;;3;overskyet_littsol;1 bloddrape;11;
E01;23.07.16;18:35;;1;overskyet_littsol;;9;
E02;23.07.16;18:30;;1;overskyet_littsol;;11;
E03;23.07.16;18:50;;1;overskyet_littsol;;13;
E04;23.07.16;18:45;;1;overskyet_littsol;;11;
E05;23.07.16;18:50;;1;overskyet_littsol;;11;
E06;23.07.16;19:00;;1;overskyet_littsol;1 sommerfugl;7;
E07;23.07.16;19:10;;1;overskyet_littsol;;5;
E08;23.07.16;19:20;;1;overskyet_littsol;;2;
E09;23.07.16;19:30;;1;overskyet_littsol;;3;
E10;23.07.16;19:40;;1;overskyet_littsol;;4;
E01;24.07.16;18:50;regn;1;overskyet_littsol;;4;
E02;24.07.16;18:45;regn;1;overskyet_littsol;;3;
E03;24.07.16;18:35;;1;overskyet_littsol;;9;
E04;24.07.16;18:15;;1;overskyet;;12;
E05;24.07.16;18:10;;1;overskyet_littsol;;6;
E06;24.07.16;17:55;;1;overskyet;;12;
E07;24.07.16;17:50;;1;overskyet_littsol;;4;
E08;24.07.16;17:35;;1;overskyet_littsol;;7;
E09;24.07.16;17:20;regn;1;overskyet_littsol;;5;
E10;24.07.16;17:15;regn;1;overskyet_littsol;1 sommerfugl;2;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
M01;;;;;;;;
M02;;;;;;;;
M03;;;;;;;;
M04;;;;;;;;
M05;;;;;;;;
M06;;;;;;;;
M07;;;;;;;;
M08;;;;;;;;
M09;;;;;;;;
M10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
L01;;;;;;;;
L02;;;;;;;;
L03;;;;;;;;
L04;;;;;;;;
L05;;;;;;;;
L06;;;;;;;;
L07;;;;;;;;
L08;;;;;;;;
L09;;;;;;;;
L10;;;;;;;;
