Dato;17.06.16;21.06.16;23.06.16;26.06.16;27.06.16;28.06.16;29.06.16;30.06.16;02.07.16;04.07.16;05.07.16;06.07.16;08.07.16;10.07.16;11.07.16;13.07.16;15.07.16;17.07.16;19.07.16;21.07.16;23.07.16;24:07.2016;26.07.16;28.07.16;30.07.16;02.08.16;04.08.16;06.08.16;11.08.16;13.08.16;15.08.16;17.08.16;18.08.16
Tid;10:00;11:00;11:00;13:00;13:00;09:33;13:00;15:00;09:00;09:15;09:30;09:15;09:15;09:15;09:15;09:30;10:00;13:00;17:30;10:00;10:00;09:30;09:30;09:30;09:15;09:30;15:00;11:00;15:00;14:00;09:00;11:00;08:00
Vaer;Sol_litt skyer;Overskyet_mye tŒke;Overskyet_sol;Overskyet_regn_vind_tŒke;Overskyet_vind_regn;Vind_Regn_skyer ;Vind_Sol_skyer;Vind_skyer;Vind_skyer;Skyer_sol;Skyer_sol;Skyer_tŒke_litt regn;Mye sol_litt skyer;Skyer_litt regn;skyer;skyer_sol;sky;sky_regn;sky_regn;sky_sol;sol_sky;sky_sol;sky_regn;sky_regn;sky_regn;sky_regn;sky_regn;sky_regn;sky_sn¿_sol;sky_littreng;sky_sol;sol;sky
Hvem;LV_AH;LV;LV;LV;LV_SB;LV_SB;LV_SB;LV;LV_SB;SB_LV;SB_LV;LV_SB;LV_SB;LV_SB;LV;LV;LV_SB_AH;SB_LV;SB_LV;SB_LV;SB_LV;LV;LV;LV;LV;LV;LV;LV;LV;LV;LV;LV;LV
M08b;;;;;;;;;;0;0;0;0;0;2;4;7;9;13;27;24;25;17;9;4;4;4;3;4;3;2;4;4
M08c;;;;;;;;;;0;0;0;0;1;1;2;4;6;8;16;12;14;9;3;3;3;2;1;0;0;0;0;0
M08d;;;;;;;;;;0;0;0;0;0;0;0;2;6;7;15;3;3;4;4;4;3;3;4;3;3;3;3;3
M08e;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;4;1;2;4;1;1;1;1;2;1;1;2;3;2
M09a;;;;;;;;;;0;0;0;0;0;0;0;1;2;3;11;14;13;10;6;3;0;0;0;1;1;1;1;1
M09b;;;;;;;;;;0;0;0;0;0;0;4;9;9;10;12;3;1;0;0;0;2;0;0;0;0;0;0;0
M09c;;;;;;;;;;0;0;0;0;1;1;4;4;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
M09d;;;;;;;;;;0;1;2;2;3;3;5;6;4;3;2;1;1;1;1;0;0;0;0;0;0;0;0;0
M09e;;;;;;;;;;1;1;1;1;0;0;3;10;11;10;8;7;4;4;4;4;4;3;3;0;0;0;0;0
M10a;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;9;3;4;4;6;6;3;2;2;1;2;1;1;0
M10b;;;;;;;;;;0;0;0;0;0;0;0;0;0;2;5;2;3;4;4;4;4;1;2;1;1;1;1;2
M10c;;;;;;;;;;0;0;0;0;0;0;1;0;0;2;11;9;11;12;8;8;7;7;0;1;0;2;1;2
M10d;;;;;;;;;;0;0;0;0;0;0;0;1;1;4;17;13;12;18;11;13;11;9;5;4;3;3;2;2
M10e;;;;;;;;;;0;0;0;0;1;2;4;4;6;5;12;10;10;8;6;4;3;2;2;1;1;1;1;1
L01a;;;;;;;;;;;;;;;;;0;0;0;0;0;1;4;4;6;8;8;4;3;1;0;0;0
L01b;;;;;;;;;;;;;;;;;1;1;2;6;5;7;6;7;7;7;5;5;3;3;1;1;1
L01c;;;;;;;;;;;;;;;;;0;0;0;1;1;1;0;0;0;1;1;0;1;0;0;0;0
L01d;;;;;;;;;;;;;;;;;0;0;0;3;1;1;1;2;2;2;1;0;0;0;0;0;0
L01e;;;;;;;;;;;;;;;;;0;0;4;11;16;17;7;7;4;3;2;2;0;0;0;0;0
L02a;;;;;;;;;;;;;;;;;0;0;2;5;2;5;4;2;2;0;0;0;0;0;0;0;0
L02b;;;;;;;;;;;;;;;;;0;0;0;1;3;3;2;2;3;2;2;2;1;0;0;1;1
L02c;;;;;;;;;;;;;;;;;0;0;0;1;2;2;0;1;1;0;0;0;0;0;0;0;0
L02d;;;;;;;;;;;;;;;;;0;0;1;1;0;1;0;0;0;0;5;5;6;2;2;2;2
L02e;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;2;1;2;2;0;0;0;0;0;0
L03a;;;;;;;;;;;;;;;;;0;0;0;0;1;1;0;1;2;0;0;0;0;0;0;0;0
L03b;;;;;;;;;;;;;;;;;0;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0;0
L03c;;;;;;;;;;;;;;;;;0;0;0;1;2;2;2;3;2;3;2;1;1;1;0;0;0
L03d;;;;;;;;;;;;;;;;;0;0;0;0;1;1;2;3;3;2;2;2;2;2;3;1;1
L03e;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
L04a;;;;;;;;;;;;;;;;;0;0;1;2;0;1;2;1;4;4;3;1;0;0;0;1;1
L04b;;;;;;;;;;;;;;;;;0;0;1;1;2;2;1;2;0;0;0;0;0;0;0;0;0
L04c;;;;;;;;;;;;;;;;;1;1;1;1;1;1;3;4;4;4;5;3;2;1;1;3;2
L04d;;;;;;;;;;;;;;;;;0;0;0;0;2;1;2;2;0;1;1;1;1;0;0;0;0
L04e;;;;;;;;;;;;;;;;;0;0;1;2;4;8;8;8;3;2;0;0;1;1;1;1;1
L05a;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;2;2;0;0;0;0;0
L05b;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;1;1;1;1;2;1;0;0;0;0
L05c;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
L05d;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;5;1;1;3;4;4
L05e;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0
L06a;;;;;;;;;;;;;;;;;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0
